Algoritmo,Versao,Threads,Tamanho,Tipo,Amostra,Tempo_ms
Merge,Serial,1,1000,Aleatorio,5,0.168
Merge,Paralelo,1,1000,Aleatorio,5,0.9169
Merge,Paralelo,2,1000,Aleatorio,5,2.4262
Merge,Paralelo,4,1000,Aleatorio,5,3.3395
Merge,Paralelo,8,1000,Aleatorio,5,5.909
Bubble,Serial,1,1000,Ordenado,1,1.0694
Bubble,Paralelo,1,1000,Ordenado,1,0.93
Bubble,Paralelo,2,1000,Ordenado,1,3.2463
Bubble,Paralelo,4,1000,Ordenado,1,2.9422
Bubble,Paralelo,8,1000,Ordenado,1,4.2913
Selection,Serial,1,1000,Ordenado,1,0.4235
Selection,Paralelo,1,1000,Ordenado,1,0.8724
Selection,Paralelo,2,1000,Ordenado,1,1.1486
Selection,Paralelo,4,1000,Ordenado,1,7.5922
Selection,Paralelo,8,1000,Ordenado,1,2.6568
Insertion,Serial,1,1000,Ordenado,1,0.0043
Insertion,Paralelo,1,1000,Ordenado,1,0.4355
Insertion,Paralelo,2,1000,Ordenado,1,0.6744
Insertion,Paralelo,4,1000,Ordenado,1,1.0883
Insertion,Paralelo,8,1000,Ordenado,1,16.9042
Merge,Serial,1,1000,Ordenado,1,0.1013
Merge,Paralelo,1,1000,Ordenado,1,9.2523
Merge,Paralelo,2,1000,Ordenado,1,0.5592
Merge,Paralelo,4,1000,Ordenado,1,1.2915
Merge,Paralelo,8,1000,Ordenado,1,5.1086
Bubble,Serial,1,1000,Ordenado,2,0.3778
Bubble,Paralelo,1,1000,Ordenado,2,1.2627
Bubble,Paralelo,2,1000,Ordenado,2,2.7813
Bubble,Paralelo,4,1000,Ordenado,2,0.8677
Bubble,Paralelo,8,1000,Ordenado,2,4.5111
Selection,Serial,1,1000,Ordenado,2,0.4386
Selection,Paralelo,1,1000,Ordenado,2,0.8915
Selection,Paralelo,2,1000,Ordenado,2,0.5101
Selection,Paralelo,4,1000,Ordenado,2,1.1493
Selection,Paralelo,8,1000,Ordenado,2,3.41
Insertion,Serial,1,1000,Ordenado,2,0.0036
Insertion,Paralelo,1,1000,Ordenado,2,0.3934
Insertion,Paralelo,2,1000,Ordenado,2,0.4314
Insertion,Paralelo,4,1000,Ordenado,2,0.6632
Insertion,Paralelo,8,1000,Ordenado,2,3.575
Merge,Serial,1,1000,Ordenado,2,0.1104
Merge,Paralelo,1,1000,Ordenado,2,0.4696
Merge,Paralelo,2,1000,Ordenado,2,0.687
Merge,Paralelo,4,1000,Ordenado,2,3.6213
Merge,Paralelo,8,1000,Ordenado,2,1.3058
Bubble,Serial,1,1000,Ordenado,3,0.5722
Bubble,Paralelo,1,1000,Ordenado,3,0.6341
Bubble,Paralelo,2,1000,Ordenado,3,0.55
Bubble,Paralelo,4,1000,Ordenado,3,1.6035
Bubble,Paralelo,8,1000,Ordenado,3,2.1894
Selection,Serial,1,1000,Ordenado,3,0.4871
Selection,Paralelo,1,1000,Ordenado,3,0.6345
Selection,Paralelo,2,1000,Ordenado,3,1.8825
Selection,Paralelo,4,1000,Ordenado,3,1.2517
Selection,Paralelo,8,1000,Ordenado,3,5.0723
Insertion,Serial,1,1000,Ordenado,3,0.0037
Insertion,Paralelo,1,1000,Ordenado,3,0.3868
Insertion,Paralelo,2,1000,Ordenado,3,0.5933
Insertion,Paralelo,4,1000,Ordenado,3,3.583
Insertion,Paralelo,8,1000,Ordenado,3,1.6449
Merge,Serial,1,1000,Ordenado,3,0.0736
Merge,Paralelo,1,1000,Ordenado,3,0.4335
Merge,Paralelo,2,1000,Ordenado,3,0.4571
Merge,Paralelo,4,1000,Ordenado,3,1.1481
Merge,Paralelo,8,1000,Ordenado,3,2.7406
Bubble,Serial,1,1000,Ordenado,4,0.4029
Bubble,Paralelo,1,1000,Ordenado,4,0.967
Bubble,Paralelo,2,1000,Ordenado,4,1.0024
Bubble,Paralelo,4,1000,Ordenado,4,0.9256
Bubble,Paralelo,8,1000,Ordenado,4,5.0086
Selection,Serial,1,1000,Ordenado,4,0.3026
Selection,Paralelo,1,1000,Ordenado,4,0.7958
Selection,Paralelo,2,1000,Ordenado,4,0.4121
Selection,Paralelo,4,1000,Ordenado,4,0.6841
Selection,Paralelo,8,1000,Ordenado,4,0.9307
Insertion,Serial,1,1000,Ordenado,4,0.0037
Insertion,Paralelo,1,1000,Ordenado,4,0.3017
Insertion,Paralelo,2,1000,Ordenado,4,3.7891
Insertion,Paralelo,4,1000,Ordenado,4,0.7398
Insertion,Paralelo,8,1000,Ordenado,4,1.4255
Merge,Serial,1,1000,Ordenado,4,0.1026
Merge,Paralelo,1,1000,Ordenado,4,0.3508
Merge,Paralelo,2,1000,Ordenado,4,1.8324
Merge,Paralelo,4,1000,Ordenado,4,1.6791
Merge,Paralelo,8,1000,Ordenado,4,1.5272
Bubble,Serial,1,1000,Ordenado,5,0.405
Bubble,Paralelo,1,1000,Ordenado,5,0.8359
Bubble,Paralelo,2,1000,Ordenado,5,0.8347
Bubble,Paralelo,4,1000,Ordenado,5,2.168
Bubble,Paralelo,8,1000,Ordenado,5,1.9948
Selection,Serial,1,1000,Ordenado,5,0.4202
Selection,Paralelo,1,1000,Ordenado,5,0.6422
Selection,Paralelo,2,1000,Ordenado,5,0.543
Selection,Paralelo,4,1000,Ordenado,5,3.1285
Selection,Paralelo,8,1000,Ordenado,5,1.735
Insertion,Serial,1,1000,Ordenado,5,0.0035
Insertion,Paralelo,1,1000,Ordenado,5,2.0553
Insertion,Paralelo,2,1000,Ordenado,5,0.7885
Insertion,Paralelo,4,1000,Ordenado,5,0.8695
Insertion,Paralelo,8,1000,Ordenado,5,1.4683
Merge,Serial,1,1000,Ordenado,5,0.1291
Merge,Paralelo,1,1000,Ordenado,5,0.5478
Merge,Paralelo,2,1000,Ordenado,5,54.376
Merge,Paralelo,4,1000,Ordenado,5,5.7062
Merge,Paralelo,8,1000,Ordenado,5,2.6835
Bubble,Serial,1,1000,Reverso,1,0.534
Bubble,Paralelo,1,1000,Reverso,1,1.4321
Bubble,Paralelo,2,1000,Reverso,1,1.0128
Bubble,Paralelo,4,1000,Reverso,1,0.9808
Bubble,Paralelo,8,1000,Reverso,1,31.6024
